4731,4975,Predlog sklepa (razprava o odgovoru na poslansko vprašanje) (ministrice za okolje in prostor Irene Majcen v zvezi z zagotavljanjem protipoplavne varnosti),20. redna seja,,,,,,,,,,,,,,,,
4732,4976,Predlog sklepa (razprava o odgovoru ministra za kulturo Antona Peršaka na poslansko vprašanje Anje Bah Žibert v zvezi z zagotavljanjem uresničevanja Zakona o Radioteleviziji Slovenija.),20. redna seja,,,,,,,,,,,,,,,,
4733,4977,Predlog sklepa (razprava o odgovoru ministra za gospodarski razvoj in tehnologijo Zdravka Počivalška na poslansko vprašanje Jožefa Horvata v zvezi s pripravo predloga Dogovora za razvoj regije v Pomurju.),20. redna seja,,,,,,,,,,,,,,,,
4734,4978,Predlog sklepa (razprava o odgovoru ministrice za okolje in prostor Irene Majcen na poslansko vprašanje Ljuba Žnidarja v zvezi z načrtovanimi davki ob spremembi namembnosti zemljišča.),20. redna seja,,,,,,,,,,,,,,,,
4735,4979,Predlog sklepa (razprava o odgovoru ministra za zunanje zadeve Karla Viktorja Erjavca na poslansko vprašanje Matjaža Hanžka v zvezi z odpravo sankcij proti Ruski federaciji.),20. redna seja,,,,,,,,,,,,,,,,
4736,4980,|Predlog sklepa (razprava o odgovoru ministra za finance dr. Dušana Mramorja ter ministra za infrastrukturo dr. Petra Gašperšiča na poslansko vprašanje dr. Mateja T. Vatovca v zvezi z vlogo Vlade kot Skupščine SDH,izgradnjo drugega tira ter menjave Nadzornega sveta Luke Koper.)|,20. redna seja,,,,,,,,,,,,,,,
4737,4981,Predlog sklepa (razprava o odgovoru ministrice za notranje zadeve mag. Vesne Györkös Žnidar na poslansko vprašanje Žana Mahniča v zvezi z aktivnostmi pri iskanju kemičnih in ubojnih sredstev Službe državne varnosti.),20. redna seja,,,,,,,,,,,,,,,,
4738,4982,|Predlog sklepa (razprava o odgovoru ministra za kmetijstvo,gozdarstvo in prehrano mag. Dejana Židana na poslansko vprašanje Ljuba Žnidarja v zvezi s pavšalnim obdavčevanjem kmetijskega gospodarstva.)|,20. redna seja,,,,,,,,,,,,,,,
6302,6546,Širitev dnevnega reda,23. izredna seja,,,,,,,,,,,,,,,,
4739,4983,Predlog sklepa (razprava o odgovoru predsednika Vlade dr. Mira Cerarja na poslansko vprašanje Jelke Godec v zvezi s kršitvami zakonodaje.),20. redna seja,,,,,,,,,,,,,,,,
4724,4968,|Predlog sklepa (razprava o odgovoru ministra za kmetijstvo,gozdarstvo in prehrano mag. Dejana Židana na poslansko vprašanje Zvonka Laha v zvezi s koncesijami za upravljanje z gozdovi v državni lasti.)|,20. redna seja,,,,,,,,,,,,,,,
4767,5011,Dnevni red v celoti,20. redna seja,,,,,,,,,,,,,,,,
