5564,5808,|Sklep o imenovanju predsednice Odbora za izobraževanje,znanost,šport in mladino - Glasovanje|,11. redna seja,,,,,,,,,,,,,,
5579,5823,Sklep o izvolitvi sodnikov porotnikov Delovnega sodišča v Kopru - Glasovanje,11. redna seja,,,,,,,,,,,,,,,,
5597,5841,Predlog sklepa (razprava o odgovoru predsednika Vlade dr. Mira Cerarja na poslansko vprašanje mag. Branka Grimsa v zvezi s konfliktom interesov in privatizacijo Telekoma),10. redna seja,,,,,,,,,,,,,,,,
5586,5830,Predlog sklepa (razprava o odgovoru ministra za gospodarski razvoj in tehnologijo Zdravka Počivalška na poslansko vprašanje dr. Franca Trčka v zvezi z razvojno nepodporo problemskim področjem),10. redna seja,,,,,,,,,,,,,,,,
6313,6557,Dnevni red v celoti,18. izredna seja,,,,,,,,,,,,,,,,
5587,5831,Predlog sklepa (razprava o odgovoru ministrice za okolje in prostor Irene Majcen na poslansko vprašanje Zvonka Laha v zvezi s prostorsko zakonodajo),10. redna seja,,,,,,,,,,,,,,,,
5588,5832,Predlog sklepa (razprava o odgovoru ministrice za okolje in prostor Irene Majcen na poslansko vprašanje Tomaža Lisca v zvezi z urejanjem problematike dimnikarstva),10. redna seja,,,,,,,,,,,,,,,,
5591,5835,Predlog sklepa (razprava o odgovoru ministra za finance dr. Dušana Mramorja na poslansko vprašanje mag. Andreja Širclja v zvezi s posledicami odločitev glede Grčije),10. redna seja,,,,,,,,,,,,,,,,
5593,5837,Predlog sklepa (razprava o odgovoru ministrice za notranje zadeve mag. Vesne Györkös Žnidar ter ministra za pravosodje mag. Gorana Klemenčiča na poslansko vprašanje dr. Vinka Gorenaka v zvezi s postopki zoper domnevne organizatorje in nasilneže na demonstracijah leta 2012/2013),10. redna seja,,,,,,,,,,,,,,,,
5615,5859,Zakon o spremembah in dopolnitvah Zakona o gospodarskih družbah - Amandma: K 2. členu 13.7.2015 [SDS - Poslanska skupina Slovenske demokratske stranke] (prvi amandma),10. redna seja,,,,,,,,,,,,,,,,
5614,5858,Zakon o spremembah in dopolnitvah Zakona o gospodarskih družbah - Amandma: K 2. členu 13.7.2015 [SDS - Poslanska skupina Slovenske demokratske stranke] (drugi amandma),10. redna seja,,,,,,,,,,,,,,,,
5641,5885,Zakon o sistemskih preiskavah projektov državnega pomena - Evidenčni sklep o primernosti predloga zakona 10.7.2015,10. redna seja,,,,,,,,,,,,,,,,
5642,5886,Zakon o spremembah in dopolnitvah Zakona o gospodarskih družbah - Evidenčni sklep da se tretja obravnava opravi na isti seji 10.7.2015,10. redna seja,,,,,,,,,,,,,,,,
5645,5889,Zakon o spremembah in dopolnitvah Zakona o gospodarskih družbah - Amandma: K 93. členu 3.7.2015 [SDS - Poslanska skupina Slovenske demokratske stranke],10. redna seja,,,,,,,,,,,,,,,,
5646,5890,Zakon o spremembah in dopolnitvah Zakona o gospodarskih družbah - Amandma: K 43. členu 3.7.2015 [SDS - Poslanska skupina Slovenske demokratske stranke],10. redna seja,,,,,,,,,,,,,,,,
5647,5891,Zakon o spremembah in dopolnitvah Zakona o gospodarskih družbah - Amandma: K 23. členu 3.7.2015 [SDS - Poslanska skupina Slovenske demokratske stranke],10. redna seja,,,,,,,,,,,,,,,,
5651,5895,Zakon o spremembah in dopolnitvah Zakona o gospodarskih družbah - Amandma: K 2. členu 3.7.2015 [SDS - Poslanska skupina Slovenske demokratske stranke] (pod točko 4),10. redna seja,,,,,,,,,,,,,,,,
5653,5897,Zakon o spremembah in dopolnitvah Zakona o gospodarskih družbah - Amandma: K 2. členu 3.7.2015 [SDS - Poslanska skupina Slovenske demokratske stranke] (pod točko 2),10. redna seja,,,,,,,,,,,,,,,,
5663,5907,Deklaracija o zunanji politiki Republike Slovenije - Amandma: k IV. poglavju 3.7.2015 [DeSUS - Poslanska skupina Demokratične stranke upokojencev Slovenije],10. redna seja,,,,,,,,,,,,,,,,
5676,5920,Zakon o spremembah in dopolnitvah Kazenskega zakonika - Amandma: K 16. členu 3.7.2015 [ZaAB - Poslanska skupina Zavezništvo Alenke Bratušek],10. redna seja,,,,,,,,,,,,,,,,
5677,5921,Zakon o spremembah in dopolnitvah Kazenskega zakonika - Amandma: K 16. členu 3.7.2015 [ZL - Poslanska skupina Združena levica],10. redna seja,,,,,,,,,,,,,,,,
5679,5923,Zakon o spremembah in dopolnitvah Zakona o izvršbi in zavarovanju - Amandma: K 2. členu 3.7.2015 [ZL - Poslanska skupina Združena levica],10. redna seja,,,,,,,,,,,,,,,,
5680,5924,Sklep o imenovanju predsednice Odbora za gospodarstvo - Glasovanje,10. redna seja,,,,,,,,,,,,,,,,
5682,5926,Predlog za imenovanje članov Nadzornega sveta Slovenske tiskovne agencije - Glasovanje o Predlogu sklepa o imenovanju člana Nadzornega sveta Slovenske tiskovne agencije - Marinka Šlibar Vende,10. redna seja,,,,,,,,,,,,,,,,
6271,6515,Dnevni red v celoti,36. izredna seja,,,,,,,,,,,,,,,,
5708,5952,Kandidatna lista za člane Sodnega sveta - Glasovanje o sestavi komisije za tajno glasovanje,9. redna seja,,,,,,,,,,,,,,,,
5690,5934,Dnevni red v celoti,10. redna seja,,,,,,,,,,,,,,,,
5715,5959,Zakon o enkratnem odpisu dolgov - Evidenčni sklep MDT 18.6.2015,9. redna seja,,,,,,,,,,,,,,,,
5718,5962,|Predlog sklepa (razprava o odgovoru ministrice za izobraževanje,znanost in šport dr. Maje Makovec Brenčič na poslansko vprašanje Matjaža Nemca glede predvidenih sprememb Zakona o elektronskih komunikacijah)|,9. redna seja,,,,,,,,,,,,,,,
5719,5963,Predlog sklepa (razprava o odgovoru ministra za infrastrukturo dr. Petra Gašperšiča na poslansko vprašanje Matjaža Hanžka v zvezi z izvajanjem priprav na gradnjo II. bloka Jedrske elektrarne Krško),9. redna seja,,,,,,,,,,,,,,,,
5720,5964,Predlog sklepa (razprava o odgovoru ministrice za obrambo Andreje Katič na poslansko vprašanje Žana Mahniča v zvezi s pripravo novega Zakona o obrambi),9. redna seja,,,,,,,,,,,,,,,,
5721,5965,|Predlog sklepa (razprava o odgovoru ministrice za delo,družino,socialne zadeve in enake možnosti dr. Anje Kopač Mrak na poslansko vprašanje Andreja Čuša v zvezi z volonterskimi pripravništvi)|,9. redna seja,,,,,,,,,,,,,,
5691,5935,Predlog za umik točke dnevnega reda,10. redna seja,,,,,,,,,,,,,,,,
5750,5994,Dnevni red v celoti,9. redna seja,,,,,,,,,,,,,,,,
5726,5970,Predlog sklepa (razprava o odgovoru ministra za gospodarski razvoj in tehnologijo Zdravka Počivalška na poslansko vprašanje dr. Franca Trčka v zvezi z razvojem turizma),9. redna seja,,,,,,,,,,,,,,,,
5727,5971,|Predlog sklepa (razprava o odgovoru ministrice za izobraževanje,znanost in šport dr. Maje Makovec Brenčič na poslansko vprašanje Franca Breznika v zvezi s poklicnim izobraževanjem)|,9. redna seja,,,,,,,,,,,,,,,
5728,5972,Predlog sklepa (razprava o odgovoru ministrice za kulturo mag. Julijane Bizjak Mlakar na poslansko vprašanje Janija Möderndorferja v zvezi s sodelovanjem Ministrstva za kulturo s strokovno in zainteresirano javnostjo),9. redna seja,,,,,,,,,,,,,,,,
5729,5973,Predlog sklepa (razprava o odgovoru ministra za zunanje zadeve Karla Viktorja Erjavca na poslansko vprašanje mag. Anžeta Logarja v zvezi z vstopom na ozemlje Ruske federacije),9. redna seja,,,,,,,,,,,,,,,,
5730,5974,Predlog sklepa (razprava o odgovoru ministrice za kulturo mag. Julijane Bizjak Mlakar na poslansko vprašanje Mihe Kordiša v zvezi z medijsko zakonodajo),9. redna seja,,,,,,,,,,,,,,,,
5731,5975,Predlog sklepa (razprava o odgovoru ministra za gospodarski razvoj in tehnologijo Zdravka Počivalška na poslansko vprašanje Marijana Pojbiča v zvezi z zahtevami slovenske obrti in podjetništva),9. redna seja,,,,,,,,,,,,,,,,
5732,5976,|Predlog sklepa (razprava o odgovoru predsednika Vlade dr. Mira Cerarja na poslansko vprašanje Luke Mesca v zvezi s prodajo Telekoma Slovenije,d.d.)|,9. redna seja,,,,,,,,,,,,,,,
5733,5977,Predlog sklepa (razprava o odgovoru predsednika Vlade dr. Mira Cerarja na poslansko vprašanje Jožeta Tanka v zvezi s sistemskimi preiskavami),9. redna seja,,,,,,,,,,,,,,,,
5722,5966,Predlog sklepa (razprava o odgovoru ministra za infrastrukturo dr. Petra Gašperšiča na poslansko vprašanje Ljuba Žnidarja v zvezi z državnim prostorskim načrtom za letališče Portorož),9. redna seja,,,,,,,,,,,,,,,,
5723,5967,Predlog sklepa (razprava o odgovoru ministra za finance dr. Dušana Mramorja na poslansko vprašanje Janka Vebra glede dostopanja podjetij do kreditov v državnih bankah),9. redna seja,,,,,,,,,,,,,,,,
5724,5968,|Predlog sklepa (razprava o odgovoru ministrice za delo,družino,socialne zadeve in enake možnosti dr. Anje Kopač Mrak na poslansko vprašanje Jožefa Horvata v zvezi z ukinitvijo programa dodatka k štipendiji Erasmus + na Javnem skladu Republike Slovenije za razvoj kadrov in štipendije)|,9. redna seja,,,,,,,,,,,,,,
5725,5969,Predlog sklepa (razprava o odgovoru ministra za javno upravo Borisa Koprivnikarja na poslansko vprašanje Anje Bah Žibert v zvezi s pripravo pokrajinske zakonodaje in njihovo ustanovitvijo skladno s 143. členom Ustave Republike Slovenije),9. redna seja,,,,,,,,,,,,,,,,
5751,5995,Umik točke dnevnega reda,9. redna seja,,,,,,,,,,,,,,,,
5771,6015,Obvestilo s Sklepom o pravici nadomeščanja poslanke Državnega zbora - Glasovanje,8. redna seja,,,,,,,,,,,,,,,,
5772,6016,Dnevni red v celoti,8. redna seja,,,,,,,,,,,,,,,,
6269,6513,Dnevni red v celoti,1. redna seja,,,,,,,,,,,,,,,,
5786,6030,Predlog sklepa (razprava o odgovoru ministrice za okolje in prostor Irene Majcen na poslansko vprašanje Tomaža Lisca v zvezi z urejanjem plovnosti slovenskih rek.,7. redna seja,,,,,,,,,,,,,,,,
5787,6031,Predlog sklepa (razprava o odgovoru ministrice za okolje in prostor Irene Majcen na poslansko vprašanje Danijela Krivca v zvezi s služnostjo na vodnih in priobalnih zemljiščih v lasti države.,7. redna seja,,,,,,,,,,,,,,,,
5788,6032,|Predlog sklepa (razprava o odgovoru ministra za pravosodje mag. Gorana Klemenčiča na poslansko vprašanje dr. Vinka Gorenaka v zvezi s postopki Ministrstva za pravosodje in drugih državnih organov po objavi poročila Komisije za preprečevanje korupcije,vezanega na koruptivno ravnanje generalnega državnega tožilca.|,7. redna seja,,,,,,,,,,,,,,,
5789,6033,Predlog sklepa (razprava o odgovoru ministra za javno upravo Borisa Koprivnikarja na poslansko vprašanje Bojana Podkrajška v zvezi z najemi poslovnih prostorov za delovanje državnih organov.,7. redna seja,,,,,,,,,,,,,,,,
5758,6002,Predlog sklepa (razprava o odgovoru ministrice za notranje zadeve mag. Vesne Györkös Žnidar na poslansko vprašanje Anje Bah Žibert v zvezi z zagotavljanjem enake obravnave pri vzdrževanju javnega reda ter varovanja življenja in osebne varnosti na javnih prireditvah.,8. redna seja,,,,,,,,,,,,,,,,
5759,6003,|Predlog sklepa (razprava o odgovoru ministra za kmetijstvo,gozdarstvo in prehrano mag. Dejana Židana na poslansko vprašanje Andreja Čuša v zvezi z Uredbo za mlade kmete.|,8. redna seja,,,,,,,,,,,,,,,
5760,6004,Predlog sklepa (razprava o odgovoru ministra za finance dr. Dušana Mramorja na poslansko vprašanje Mihe Kordiša v zvezi s predstavniki Mednarodnega denarnega sklada.,8. redna seja,,,,,,,,,,,,,,,,
5761,6005,Predlog sklepa (razprava o odgovoru ministra za infrastrukturo dr. Petra Gašperšiča na poslansko vprašanje Zvonka Laha v zvezi s sofinanciranjem električne energije iz obnovljivih virov.,8. redna seja,,,,,,,,,,,,,,,,
5763,6007,Predlog sklepa (razprava o odgovoru ministra za infrastrukturo dr. Petra Gašperšiča na poslansko vprašanje Matjaža Hanžka v zvezi z obratovanjem bloka 6 Termoelektrarne Šoštanj.,8. redna seja,,,,,,,,,,,,,,,,
5764,6008,Predlog sklepa (razprava o odgovoru ministra za finance dr. Dušana Mramorja na poslansko vprašanje mag. Marka Pogačnika v zvezi s poravnavanjem zakonskih obveznosti Slovenskega državnega holdinga,8. redna seja,,,,,,,,,,,,,,,,
5765,6009,Predlog sklepa (razprava o odgovoru ministra za finance dr. Dušana Mramorja na poslansko vprašanje mag. Anžeta Logarja v zvezi z izpolnitvijo napovedi iz Načrta razvojnih programov za leto 2016.,8. redna seja,,,,,,,,,,,,,,,,
5766,6010,Predlog sklepa (razprava o odgovoru ministra za finance dr. Dušana Mramorja na poslansko vprašanje Luke Mesca v zvezi z vlogo sklada Cinven ter nemškega Telekoma pri postopkih privatizacije družbe Telekom.,8. redna seja,,,,,,,,,,,,,,,,
5769,6013,Proceduralni predlog za prestavitev točke,8. redna seja,,,,,,,,,,,,,,,,
5779,6023,Zakon o spremembi Zakona o subvencioniranju študentske prehrane - Evidenčni sklep o primernosti predloga zakona 24.4.2015,7. redna seja,,,,,,,,,,,,,,,,
5782,6026,Zakon o dopolnitvi Zakona o bančništvu - Evidenčni sklep o primernosti predloga zakona 24.4.2015,7. redna seja,,,,,,,,,,,,,,,,
6441,6685,Dnevni red v celoti,25. redna seja,,,,,,,,,,,,,,,,
5809,6053,Dnevni red v celoti,7. redna seja,,,,,,,,,,,,,,,,
5810,6054,Širitev dnevnega reda,7. redna seja,,,,,,,,,,,,,,,,
5791,6035,Predlog sklepa (razprava o odgovoru ministra za pravosodje mag. Gorana Klemenčiča na poslansko vprašanje Eve Irgl v zvezi z integriteto in spoštovanjem zakonodaje.,7. redna seja,,,,,,,,,,,,,,,,
5792,6036,Predlog sklepa (razprava o odgovoru ministra zunanje zadeve Karla Viktorja Erjavca na poslansko vprašanje Mihe Kordiša v zvezi z odpravo sankcij proti Ruski federaciji.,7. redna seja,,,,,,,,,,,,,,,,
5793,6037,Predlog sklepa (razprava o odgovoru ministrice za okolje in prostor Irene Majcen na poslansko vprašanje Ljuba Žnidarja v zvezi s terminsko dinamiko 3. razvojne osi.,7. redna seja,,,,,,,,,,,,,,,,
6282,6526,Dnevni red v celoti,30. izredna seja,,,,,,,,,,,,,,,,
5794,6038,Predlog sklepa (razprava o odgovoru ministrice za kulturo mag. Julijane Bizjak Mlakar na poslansko vprašanje mag. Anžeta Logarja v zvezi s propadanjem Plečnikove kulturne dediščine.,7. redna seja,,,,,,,,,,,,,,,,
5795,6039,Predlog sklepa (razprava o odgovoru ministrice za okolje in prostor Irene Majcen na poslansko vprašanje dr. Mateja T. Vatovca v zvezi s financiranjem Muzeja solinarstva.,7. redna seja,,,,,,,,,,,,,,,,
5796,6040,Predlog sklepa (razprava o odgovoru predsednika Vlade dr. Mira Cerarja na poslansko vprašanje mag. Alenke Bratušek v zvezi z osnutkom Nacionalnega reformnega programa za leti 2015 – 2016.,7. redna seja,,,,,,,,,,,,,,,,
5797,6041,Predlog sklepa (razprava o odgovoru predsednika Vlade dr. Mira Cerarja na poslansko vprašanje Jerneja Vrtovca v zvezi s pripravo in izvedbo zdravstvene reforme.,7. redna seja,,,,,,,,,,,,,,,,
5798,6042,Predlog sklepa (razprava o odgovoru predsednika Vlade dr. Mira Cerarja na poslansko vprašanje Luke Mesca v zvezi s privatizacijo in novelo Zakona o Slovenskem državnem holdingu (SDH).,7. redna seja,,,,,,,,,,,,,,,,
5813,6057,Predlog sklepa za razpravo o odgovoru ministra za finance dr. Dušana Mramorja na poslansko vprašanje Ljuba Žnidarja v zvezi s povračilom stroškov cestninskega nadzora.,6. redna seja,,,,,,,,,,,,,,,,
5814,6058,Predlog sklepa za razpravo o odgovoru ministrice za zdravje Marije Milojke Kolar Celarc na poslansko vprašanje Mihe Kordiša v zvezi z Uradnim kontrolnim laboratorijem Javne agencije za zdravila in medicinske pripomočke.,6. redna seja,,,,,,,,,,,,,,,,
5815,6059,Predlog sklepa za razpravo o odgovoru ministra za finance dr. Dušana Mramorja na poslansko vprašanje Marijana Pojbiča v zvezi z davčnimi blagajnami.,6. redna seja,,,,,,,,,,,,,,,,
5816,6060,Predlog sklepa za razpravo o odgovoru ministrice za zdravje Marije Milojke Kolar Celarc na poslansko vprašanje Jerneja Vrtovca v zvezi s čakalnimi vrstami v zdravstvu.,6. redna seja,,,,,,,,,,,,,,,,
5817,6061,Predlog sklepa za razpravo o odgovoru ministra za finance dr. Dušana Mramorja na poslansko vprašanje mag. Anžeta Logarja v zvezi z lastniki podrejenih finančnih instrumentov.,6. redna seja,,,,,,,,,,,,,,,,
5818,6062,Predlog sklepa za razpravo o odgovoru ministrice za okolje in prostor Irene Majcen na poslansko vprašanje Matjaža Hanžka v zvezi z monitoringom slovenskih površinskih in podzemnih voda ter morja.,6. redna seja,,,,,,,,,,,,,,,,
5819,6063,Predlog sklepa za razpravo o odgovoru ministra za pravosodje mag. Gorana Klemenčiča na poslansko vprašanje Eve Irgl glede integritete in spoštovanja zakonodaje.,6. redna seja,,,,,,,,,,,,,,,,
5821,6065,|Predlog sklepa za razpravo o odgovoru ministrice za okolje in prostor Irene Majcen ter ministrice brez resorja,pristojne za razvoj,strateške projekte in kohezijo Alenke Smerkolj na poslansko vprašanje Zvonka Laha v zvezi z enajstimi okoljskimi projekti.|,6. redna seja,,,,,,,,,,,,,,
5833,6077,Obvestilo s Sklepom o pravici nadomeščanja poslanke Državnega zbora - Glasovanje,6. redna seja,,,,,,,,,,,,,,,,
5861,6105,Zakon o spremembah in dopolnitvah Kazenskega zakonika - Evidenčni sklep o primernosti predloga zakona 9.3.2015,5. redna seja,,,,,,,,,,,,,,,,
5856,6100,Dnevni red v celoti,6. redna seja,,,,,,,,,,,,,,,,
5822,6066,Predlog sklepa za razpravo o odgovoru ministrice za zdravje Marije Milojke Kolar Celarc na poslansko vprašanje Nade Brinovšek v zvezi s projektom reorganizacije službe nujne medicinske pomoči.,6. redna seja,,,,,,,,,,,,,,,,
5823,6067,Predlog sklepa za razpravo o odgovoru ministra za finance dr. Dušana Mramorja na poslansko vprašanje Luke Mesca v zvezi s tiho privatizacijo.,6. redna seja,,,,,,,,,,,,,,,,
5824,6068,Predlog sklepa za razpravo o odgovoru predsednika Vlade dr. Mira Cerarja na poslansko vprašanje mag. Mateja Tonina v zvezi z ukrepi Vlade za prestrukturiranje podjetij.,6. redna seja,,,,,,,,,,,,,,,,
5825,6069,Predlog sklepa za razpravo o odgovoru predsednika Vlade dr. Mira Cerarja na poslansko vprašanje Violete Tomić v zvezi s povračilom vojne škode.,6. redna seja,,,,,,,,,,,,,,,,
5826,6070,Predlog sklepa za razpravo o odgovoru predsednika Vlade dr. Mira Cerarja na poslansko vprašanje Jožeta Tanka v zvezi s kadrovsko politiko.,6. redna seja,,,,,,,,,,,,,,,,
5827,6071,Proceduralni predlog za prestavitev točke,6. redna seja,,,,,,,,,,,,,,,,
5829,6073,Zakon o spremembah in dopolnitvah zakona o Banki Slovenije - Evidenčni sklep o primernosti predloga zakona 31.3.2015,6. redna seja,,,,,,,,,,,,,,,,
5832,6076,Predlog za izvolitev kandidatke ali kandidata za sodnico ali sodnika na Sodišču Evropske unije v Luksemburgu - Glasovanje o sestavi komisije za tajno glasovanje,6. redna seja,,,,,,,,,,,,,,,,
5894,6138,Predlog sklepa razprava o odgovoru ministrice za zdravje Marije Milojke Kolar Celarc na poslansko vprašanje Violete Tomić  v zvezi z mladostniki s hudimi vedenjskimi in čustvenimi motnjami.,5. redna seja,,,,,,,,,,,,,,,,
5893,6137,Predlog sklepa opravil razpravo o odgovoru ministra za obrambo Janka Vebra na poslansko vprašanje Mihe Kordiša v zvezi z obravnavo obrambnih izdatkov.,5. redna seja,,,,,,,,,,,,,,,,
5864,6108,Odlok o spremembah in dopolnitvah Odloka o preoblikovanju Univerze v Mariboru - Glasovanje o aktu v celoti,5. redna seja,,,,,,,,,,,,,,,,
5895,6139,Predlog sklepa razprava o odgovoru ministrice za okolje in prostor Irene Majcen na poslansko vprašanje dr. Franca Trčka v zvezi z nadzorom koncesionarjev pri urejanju voda.,5. redna seja,,,,,,,,,,,,,,,,
5896,6140,Predlog sklepa razprava o odgovoru ministrice za kulturo mag. Julijane Bizjak Mlakar na poslansko vprašanje mag. Mirjam Bon Klanjšček v zvezi z izkoriščanjem samozaposlenih v kulturi.,5. redna seja,,,,,,,,,,,,,,,,
5897,6141,Predlog sklepa razprava o odgovoru ministrice za zdravje Marije Milojke Kolar Celarc na poslansko vprašanje Žana Mahniča v zvezi z zapiranjem pediatričnih ambulant.,5. redna seja,,,,,,,,,,,,,,,,
5925,6169,|Obvestilo s Sklepom o kandidatu,ki ima pravico prevzeti mandat poslanca Državnega zbora - Glasovanje o aktu v celoti|,5. redna seja,,,,,,,,,,,,,,,
5898,6142,Predlog sklepa razprava o odgovoru ministrice za okolje in prostor Irene Majcen na poslansko vprašanje Zvonka Laha v zvezi s pripravo sprememb prostorske in gradbene zakonodaje.,5. redna seja,,,,,,,,,,,,,,,,
5899,6143,Predlog sklepa razprava o odgovoru ministra za finance dr. Dušana Mramorja na poslansko vprašanje Jožefa Horvata v zvezi z uveljavitvijo dviga praga za obvezen vstop v sistem obračunavanja davka na dodano vrednost.,5. redna seja,,,,,,,,,,,,,,,,
5900,6144,|Predlog sklepa razprava o odgovoru ministrice za izobraževanje,znanost in šport dr. Stanislave Setnikar Cankar na poslansko vprašanje Mihe Kordiša v zvezi s sofinanciranjem doktorskega študija.|,5. redna seja,,,,,,,,,,,,,,,
5901,6145,Predlog sklepa razprava o odgovoru ministrice za okolje in prostor Irene Majcen na poslansko vprašanje Danijela Krivca v zvezi z uresničevanjem Operativnega programa odvajanja in čiščenja komunalne odpadne vode.,5. redna seja,,,,,,,,,,,,,,,,
5902,6146,|Predlog sklepa razprava o odgovoru ministra za kmetijstvo,gozdarstvo in prehrano mag. Dejana Židana na poslansko vprašanje Ljuba Žnidarja v zvezi s financiranjem izvajanja komasacij kmetijskih zemljišč.|,5. redna seja,,,,,,,,,,,,,,,
5903,6147,|Predlog sklepa razprava o odgovoru ministrice za delo,družino,socialne zadeve in enake možnosti dr. Anje Kopač Mrak na poslansko vprašanje Ljudmile Novak v zvezi z odpravo neskladja z odločbo Ustavnega sodišča U-I-425/06.|,5. redna seja,,,,,,,,,,,,,,
5904,6148,|Predlog sklepa razprava o odgovoru ministra za kmetijstvo,gozdarstvo in prehrano mag. Dejana Židana na poslansko vprašanje Violete Tomić v zvezi z ustanovitvijo državnega gozdarskega podjetja.|,5. redna seja,,,,,,,,,,,,,,,
5910,6154,|Zakon o ratifikaciji prilagoditve Pogodbe o ustanovitvi Evropskega mehanizma za stabilnost med Kraljevino Belgijo,Zvezno republiko Nemčijo,Republiko Estonijo,Irsko,Helensko republiko,Kraljevino Španijo,Francosko republiko,Italijansko republiko,Republiko Ciper,Republiko Latvijo,Velikim vojvodstvom Luksemburg,Malto,Kraljevino Nizozemsko,Republiko Avstrijo,Portugalsko republiko,Republiko Slovenijo,Slovaško republiko in Republiko Finsko kot neposredne posledice pristopa Republike Litve - Glasovanje o zakonu v celoti|,5. redna seja
5921,6165,Zakon o spremembah in dopolnitvah Zakona o zakonski zvezi in družinskih razmerjih - Amandma: K 7. členu 24.2.2015 [NSi - Poslanska skupina Nove Slovenije - krščanskih demokratov],5. redna seja,,,,,,,,,,,,,,,,
5926,6170,Dnevni red v celoti,5. redna seja,,,,,,,,,,,,,,,,
5906,6150,Predlog sklepa razprava o odgovoru predsednika Vlade dr. Mira Cerarja na poslansko vprašanje Jožeta Tanka v zvezi z integriteto javnih funkcionarjev.,5. redna seja,,,,,,,,,,,,,,,,
5944,6188,Zakon o spremembah in dopolnitvah Zakona o poklicnem in strokovnem izobraževanju - Evidenčni sklep o primernosti predloga zakona 30.1.2015,4. redna seja,,,,,,,,,,,,,,,,
5946,6190,Zakon o ukrepih na področju pripravništva - Evidenčni sklep o primernosti predloga zakona 30.1.2015,4. redna seja,,,,,,,,,,,,,,,,
5947,6191,Predlog sklepa (razprava o odgovoru ministra za obrambo Janka Vebra na poslansko vprašanje Mihe Kordiša v zvezi z umikom Slovenske vojske s Kosova.,4. redna seja,,,,,,,,,,,,,,,,
6283,6527,Dnevni red v celoti,29. izredna seja,,,,,,,,,,,,,,,,
5948,6192,Predlog sklepa (razprava o odgovoru ministrice za notranje zadeve mag. Vesne Györkös Žnidar na poslansko vprašanje Žana Mahniča v zvezi z ukrepanjem zoper udeležence oboroženih spopadov izven območja Republike Slovenije.,4. redna seja,,,,,,,,,,,,,,,,
5949,6193,Predlog sklepa (razprava o odgovoru ministrice za zdravje Marije Milojke Kolar Celarc na poslansko vprašanje dr. Franca Trčka v zvezi s problematiko nujne medicinske pomoči.,4. redna seja,,,,,,,,,,,,,,,,
5950,6194,Predlog sklepa (razprava o odgovoru ministrice za notranje zadeve mag. Vesne Györkös Žnidar na poslansko vprašanje dr. Vinka Gorenaka v zvezi z »osebno vizijo vodenja ministrstva za notranje zadeve«.,4. redna seja,,,,,,,,,,,,,,,,
5951,6195,Predlog sklepa (razprava o odgovoru ministra za infrastrukturo dr. Petra Gašperšiča na poslansko vprašanje Žana Mahniča v zvezi s stanjem na državni cestni infrastrukturi.,4. redna seja,,,,,,,,,,,,,,,,
5952,6196,Predlog sklepa (razprava o odgovoru ministra za infrastrukturo dr. Petra Gašperšiča na poslansko vprašanje Ljuba Žnidarja v zvezi s prometno infrastrukturo.,4. redna seja,,,,,,,,,,,,,,,,
5953,6197,Predlog sklepa (razprava o odgovoru ministrice za okolje in prostor Irene Majcen na poslansko vprašanje dr. Franca Trčka v zvezi s stanovanjsko politiko Republike Slovenije.,4. redna seja,,,,,,,,,,,,,,,,
5954,6198,Predlog sklepa (razprava o odgovoru ministrice za notranje zadeve mag. Vesne Györkös Žnidar ter ministra za pravosodje mag. Gorana Klemenčiča na poslansko vprašanje Anje Bah Žibert v zvezi z grožnjami novinarjem.,4. redna seja,,,,,,,,,,,,,,,,
5955,6199,Predlog sklepa (razprava o odgovoru ministra za infrastrukturo dr. Petra Gašperšiča na poslansko vprašanje Tomaža Lisca v zvezi s sanacijo premostitvenih objektov.,4. redna seja,,,,,,,,,,,,,,,,
5956,6200,|Predlog sklepa (razprava o odgovoru ministrice za notranje zadeve mag. Vesne Györkös Žnidar ter ministra za pravosodje mag. Gorana Klemenčiča na poslansko vprašanje Eve Irgl v zvezi z aktivnostmi organov pregona in odkrivanja zoper kazniva dejanja,vezana na nezakonito dejavnost nekdanje Službe državne varnosti.|,4. redna seja,,,,,,,,,,,,,,,
5957,6201,Predlog sklepa (razprava o odgovoru predsednika Vlade dr. Mira Cerarja na poslansko vprašanje mag. Marka Pogačnika v zvezi s privatizacijskimi postopki in upravljanjem državnega premoženja.,4. redna seja,,,,,,,,,,,,,,,,
5958,6202,Predlog sklepa (razprava o odgovoru predsednika Vlade dr. Mira Cerarja na poslansko vprašanje Ljudmile Novak v zvezi s privatizacijo državnih podjetij.,4. redna seja,,,,,,,,,,,,,,,,
5959,6203,Zakon o spremembah in dopolnitvah Zakona o medijih - Evidenčni sklep o primernosti predloga zakona 27.1.2015,4. redna seja,,,,,,,,,,,,,,,,
6415,6659,Predlog sklepa (razprava o odgovoru predsednika Vlade dr. Mira Cerarja na poslansko vprašanje Luke Mesca v zvezi z negativnimi posledicami privatizacij podjetij v državni lasti v luči zadnjih dogajanj s podjetjem Helios.),25. redna seja,,,,,,,,,,,,,,,,
6411,6655,Predlog sklepa (razprava o odgovoru ministra za infrastrukturo dr. Petra Gašperšiča na poslansko vprašanje dr. Mateja T. Vatovca v zvezi s krizo zračnega prometa po privatizaciji Aerodroma Ljubljana in Adrie Airways.),25. redna seja,,,,,,,,,,,,,,,,
