5331,5575,"Odlok o načrtu ravnanja s stvarnim premoženjem države za Komisijo za preprečevanje korupcije za leto 2017 - Glasovanje o aktu v celoti","13. redna seja",x,x,x
4828,5072,"|Sklep o sestavi in imenovanju predsednika",podpredsednika,x,x,x
5371,5615,"Resolucija o nacionalnem programu za enake možnosti žensk in moških 2015–2020 - Glasovanje","12. redna seja",x,x,x
5494,5738,"Rebalans proračuna Republike Slovenije za leto 2015 - Amandma: 2431 Direkcija Republike Slovenije za infrastrukturo (130202) 16.2.2015 [SDS - Poslanska skupina Slovenske demokratske stranke] (pod številko 8)","9. izredna seja",x,x,x
5650,5894,"Zakon o spremembah in dopolnitvah Zakona o gospodarskih družbah - Amandma: K 2. členu 3.7.2015 [SDS - Poslanska skupina Slovenske demokratske stranke] (pod točko 5)","10. redna seja",x,x,x
5359,5603,"Zakon o spremembi Zakona o uveljavljanju pravic iz javnih sredstev - Amandma: K 2. členu 16.11.2015 [SDS - Poslanska skupina Slovenske demokratske stranke] (pod točko 1)","13. redna seja",x,x,x
5357,5601,"Zakon o spremembi Zakona o uveljavljanju pravic iz javnih sredstev - Amandma: K 2. členu 16.11.2015 [SDS - Poslanska skupina Slovenske demokratske stranke] (pod točko 2)","13. redna seja",x,x,x
5383,5627,"|Priporočilo v zvezi s problematiko delovanja Družbe za upravljanje terjatev bank","d. d.",x,x,x
5385,5629,"|Priporočilo v zvezi s problematiko delovanja Družbe za upravljanje terjatev bank","d. d.",x,x,x
4547,4791,"Sklep o pravici prevzema mandata poslanke Državnega zbora in Sklep o pravici nadomeščanja poslanca Državnega zbora - Glasovanje o sklepu - Vlasta Počkaj","22. redna seja",x,x,x
5419,5663,"Zakon o spremembah Zakona o razvojni podpori Pomurski regiji v obdobju 2010-2015 - Amandma: K 2. členu 13.10.2015 [SDS - Poslanska skupina Slovenske demokratske stranke] (prvi amandma)","12. redna seja",x,x,x
5417,5661,"Zakon o spremembah Zakona o razvojni podpori Pomurski regiji v obdobju 2010-2015 - Amandma: K 2. členu 13.10.2015 [SDS - Poslanska skupina Slovenske demokratske stranke] (drugi amandma)","12. redna seja",x,x,x
5415,5659,"Zakon o spremembah Zakona o razvojni podpori Pomurski regiji v obdobju 2010-2015 - Amandma: K 2. členu 13.10.2015 [SDS - Poslanska skupina Slovenske demokratske stranke] (tretji amandma)","12. redna seja",x,x,x
5475,5719,"Rebalans proračuna Republike Slovenije za leto 2015 - Amandma: 3331 Urad Republike Slovenije za mladino (190104) 16.2.2015 [SDS - Poslanska skupina Slovenske demokratske stranke]","9. izredna seja",x,x,x
5472,5716,"Rebalans proračuna Republike Slovenije za leto 2015 - Vloženi uskladitveni amandmaji: k splošnem delu 20.2.2015 [V - Vlada]","9. izredna seja",x,x,x
5477,5721,"|Rebalans proračuna Republike Slovenije za leto 2015 - Amandma: 3330 Ministrstvo za izobraževanje","znanost in šport (190301)  12.2.2015 [ZaAB - Poslanska skupina Zavezništvo Alenke Bratušek]|",x,x,x
5481,5725,"Rebalans proračuna Republike Slovenije za leto 2015 - Amandma: 2711 Ministrstvo za zdravje (170301) 16.2.2015 [SDS - Poslanska skupina Slovenske demokratske stranke]","9. izredna seja",x,x,x
5482,5726,"Rebalans proračuna Republike Slovenije za leto 2015 - Amandma: 2613 Inšpektorat RS za delo (100101) 16.2.2015 [ZL - Poslanska skupina Združena levica]","9. izredna seja",x,x,x
5483,5727,"|Rebalans proračuna Republike Slovenije za leto 2015 - Amandma: 2611 Ministrstvo za delo","družino in socialne zadeve in enake možnosti  (200202) 16.2.2015 [ZL - Poslanska skupina Združena levica]|",x,x,x
5654,5898,"Zakon o spremembah in dopolnitvah Zakona o gospodarskih družbah - Amandma: K 2. členu 3.7.2015 [SDS - Poslanska skupina Slovenske demokratske stranke] (pod točko 1)","10. redna seja",x,x,x
5503,5747,"Rebalans proračuna Republike Slovenije za leto 2015 - Amandma: 2130 Ministrstvo za gospodarski razvoj in tehnologijo (140502) 16.2.2015 [SDS - Poslanska skupina Slovenske demokratske stranke]","9. izredna seja",x,x,x
5507,5751,"Rebalans proračuna Republike Slovenije za leto 2015 - Amandma: 2130 Ministrstvo za gospodarski razvoj in tehnologijo (060301) 16.2.2015 [SDS - Poslanska skupina Slovenske demokratske stranke]","9. izredna seja",x,x,x
5508,5752,"Rebalans proračuna Republike Slovenije za leto 2015 - Amandma: 2130 Ministrstvo za gospodarski razvoj in tehnologijo (060301) 12.2.2015 [ZaAB - Poslanska skupina Zavezništvo Alenke Bratušek]","9. izredna seja",x,x,x
5511,5755,"Rebalans proračuna Republike Slovenije za leto 2015 - Amandma: 1714 Policija (080201) 16.2.2015 [ZaAB - Poslanska skupina Zavezništvo Alenke Bratušek]","9. izredna seja",x,x,x
5512,5756,"Rebalans proračuna Republike Slovenije za leto 2015 - Amandma: 1714 Policija (080201) 16.2.2015 [SDS - Poslanska skupina Slovenske demokratske stranke]","9. izredna seja",x,x,x
